1. Cronograma - Mentoria Estrategista Empresarial [Base];Updates;;;;;;;;;
Item ID;Item Name;Content Type;Content Type;User;Created At;Update Content;Likes Count;Asset IDs;Post ID;Parent Post ID
4855449489;Mentalidade Empresarial;Update;;Marcos Daniel;12/November/2022  06:51:38 PM;"dasda

Written in Status -";0;;2299187849;
