1. Cronograma - Mentoria Estrategista Empresarial [Base];;;;;;;;;;;;;;;
Boas Vindas;;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status da Mentoria;Cronograma - Start;Cronograma - End;Status do Aluno;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;monday Doc;Item ID (auto generated)
Alinhando vida Pessoal e Profissional;Roda da Vida,Abrindo espaço livre,Método DRD;Marcos Daniel;Aguardando;2022-12-10;2022-12-16;Aguardando;7;;;0%;;;;;4855449446
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Item ID (auto generated);;;;;;;
;Roda da Vida;;;;;;;4855449534;;;;;;;
;Abrindo espaço livre;;;;;;;4855449538;;;;;;;
;Método DRD;;;;;;;4855449541;;;;;;;
Perfil Comportamental;;Marcos Daniel;Aguardando;2022-12-17;2022-12-23;Aguardando;7;;;0%;;;;;4855449525
Autorresponsabilidade;;Marcos Daniel;Aguardando;2022-12-17;2022-12-23;Aguardando;7;;;0%;;;;;4855449528
Concluindo a Fase - Checkpoint;;Marcos Daniel;Aguardando;2022-12-24;2022-12-24;Aguardando;1;;;0%;;;;;4855449457
;;;;2022-12-10;2022-12-24;;5;;00:00:00;0%;;;;;
;;;;;;;;;;;;;;;
Levantamentos e Diagnósticos Estratégicos;;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status da Mentoria;Cronograma - Start;Cronograma - End;Status do Aluno;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;monday Doc;Item ID (auto generated)
Diagnóstico Empresarial;;Marcos Daniel;Aguardando;2023-01-02;2023-01-08;Aguardando;7;;;0%;;;;;4855449505
Diagnóstico da Maturidade Empresarial;;Marcos Daniel;Aguardando;2023-01-02;2023-01-08;Aguardando;7;;;0%;;;;;4855449452
Levantamento de Dados Financeiros;;Marcos Daniel;Aguardando;2023-01-02;2023-01-08;Aguardando;7;;;0%;;;;;4855449458
Software de CRM;O que faz o CRM?,Tipos de CRM;Marcos Daniel;Aguardando;2023-01-02;2023-01-08;Aguardando;7;;;0%;;;;;4855449509
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Item ID (auto generated);;;;;;;
;O que faz o CRM?;;Concluído;2022-12-16;2022-12-16;1;;4855449598;;;;;;;
;Tipos de CRM;;Concluído;2022-12-16;2022-12-16;1;;4855449603;;;;;;;
Concluindo a Fase - Checkpoint;;Marcos Daniel;Aguardando;2023-01-02;2023-01-08;Aguardando;7;;;0%;;;;;4855449475
;;;;2023-01-02;2023-01-08;;5;;00:00:00;0%;;;;;
;;;;;;;;;;;;;;;
Alinhamento Estratégico;;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status da Mentoria;Cronograma - Start;Cronograma - End;Status do Aluno;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;monday Doc;Item ID (auto generated)
Análise SWOT;;Marcos Daniel;Aguardando;2022-10-03;2022-10-16;Aguardando;14;;;0%;;;;;4855449461
Objetivos Estratégicos;;Marcos Daniel;Aguardando;2022-12-16;2022-12-16;Aguardando;1;;;0%;;;;;4855449479
Desdobramentos;;Marcos Daniel;Aguardando;2022-12-16;2022-12-16;Aguardando;1;;;0%;;;;;4855449483
Painel de Indicadores;;Marcos Daniel;Aguardando;2022-12-16;2022-12-16;Aguardando;1;;;0%;;;;;4855449516
Concluindo a Fase - Checkpoint;;Marcos Daniel;Aguardando;2022-12-16;2022-12-16;Aguardando;1;;;0%;;;;;4855449451
;;;;2022-10-03;2022-12-16;;5;;00:00:00;0%;;;;;
;;;;;;;;;;;;;;;
Proposta de Valor;;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status da Mentoria;Cronograma - Start;Cronograma - End;Status do Aluno;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;monday Doc;Item ID (auto generated)
Missão;;Marcos Daniel;Aguardando;2023-01-07;2023-01-13;Aguardando;7;;;0%;;;;;4855449472
Visão;;Marcos Daniel;Aguardando;2023-01-07;2023-01-13;Aguardando;7;;;0%;;;;;4855449480
Valores;;Marcos Daniel;Aguardando;2023-01-14;2023-01-20;Aguardando;7;;;0%;;;;;4855449462
Aplicação dos Valores;;Marcos Daniel;Aguardando;2023-01-14;2023-01-20;Aguardando;7;;;0%;;;;;4855449464
Posicionamento de Mercado;;Marcos Daniel;Aguardando;2023-01-21;2023-01-27;Aguardando;7;;;0%;;;;;4855449470
Competencias Essênciais;;Marcos Daniel;Aguardando;2023-01-21;2023-01-27;Aguardando;7;;;0%;;;;;4855449474
Concluindo a Fase - Checkpoint;;Marcos Daniel;Aguardando;2023-01-28;2023-02-03;Aguardando;7;;;0%;;;;;4855449478
;;;;2023-01-07;2023-02-03;;7;;00:00:00;0%;;;;;
;;;;;;;;;;;;;;;
Processos;;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status da Mentoria;Cronograma - Start;Cronograma - End;Status do Aluno;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;monday Doc;Item ID (auto generated)
O que são processos;O que são indicadores,Como medir indicadores;Marcos Daniel;Aguardando;2022-12-12;2022-12-12;Aguardando;1;;;0%;;;;;4855449498
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Item ID (auto generated);;;;;;;
;O que são indicadores;;;;;;;4855449544;;;;;;;
;Como medir indicadores;;;;;;;4855449547;;;;;;;
Organograma da Área;;Marcos Daniel;Aguardando;2022-12-19;2022-12-25;Aguardando;7;;;0%;Conclusão Antecipada;;;;4855449517
Mapeamento de Processos;;Marcos Daniel;Aguardando;2022-12-26;2023-01-08;Aguardando;14;;;0%;;2022-11-17;2022-11-24;;4855449453
Remodelagem dos Processos;;Marcos Daniel;Aguardando;2023-01-09;2023-01-29;Aguardando;21;;;0%;;;;;4855449445
Job Description;;Marcos Daniel;Aguardando;2023-01-16;2023-02-05;Aguardando;21;;;0%;;;;;4855449459
Sensibilização da Equipe;;Marcos Daniel;Aguardando;2023-02-06;2023-02-06;Aguardando;1;;;0%;;;;;4855449450
Concluindo a Fase - Checkpoint;;Marcos Daniel;Aguardando;2023-02-06;2023-02-06;Aguardando;1;;;0%;;;;;4855449507
;;;;2022-12-12;2023-02-06;;7;;00:00:00;0%;;2022-11-17;2022-11-24;;
;;;;;;;;;;;;;;;
Ferramentas Aplicáveis do Nível Tático;;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status da Mentoria;Cronograma - Start;Cronograma - End;Status do Aluno;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;monday Doc;Item ID (auto generated)
Check list de Contratação;;Marcos Daniel;Aguardando;2023-02-06;2023-02-06;Aguardando;1;;;0%;;;;;4855449456
Liderança;Analise de Maturidade do Colaborador,Estilo de Liderança,Perfil Comportamental,Conexão com Colaborador,Modelo de avaliação de desempenho,Teste de Delegação;Marcos Daniel;Aguardando;2023-02-13;2023-03-14;Aguardando;30;;;0%;;;;;4855449455
